x1,y1,z1
-0.0020208484,-0.10581479,0.97781545
-0.0,-0.106328376,0.9806716
-0.0056672837,-0.112500295,0.97266203
-0.0075820596,-0.11588264,0.9699558
-0.009009761,-0.1188936,0.967938
-0.010559202,-0.12197783,0.9657482
-0.012708822,-0.12547499,0.96271014
-0.01528914,-0.12925597,0.95906335
-0.017593123,-0.13281693,0.9558071
-0.019997004,-0.13642484,0.9524096
-0.02272008,-0.14023033,0.9485611
-0.025670657,-0.14416547,0.94439095
-0.028939294,-0.14828883,0.9397714
-0.032613467,-0.15265505,0.93457866
-0.036236342,-0.15695025,0.9294583
-0.03958515,-0.1610262,0.9247254
-0.04302124,-0.16512685,0.9198691
-0.04679406,-0.1694153,0.914537
-0.050069146,-0.17334083,0.90990824
-0.0533722,-0.17725201,0.90523994
-0.057071026,-0.18138532,0.90001243
-0.06064878,-0.18540458,0.8949559
-0.06423595,-0.1893943,0.88988614
-0.06821861,-0.19359729,0.8842574
-0.07241209,-0.19789237,0.8783307
-0.07603715,-0.20179382,0.8732074
-0.079639345,-0.20564528,0.8681164
-0.083500676,-0.2096189,0.86265904
-0.08698347,-0.21332541,0.8577368
-0.09021808,-0.21684861,0.85316527
-0.09385329,-0.22057787,0.8480276
-0.09755336,-0.2243093,0.8427982
-0.10092893,-0.22781435,0.83802754
-0.10452036,-0.23141101,0.83295166
-0.10858692,-0.23524506,0.8272043
-0.11230467,-0.23884007,0.82194996
-0.11588854,-0.2423226,0.81688493
-0.119858526,-0.24598569,0.8112741
-0.12362877,-0.24949859,0.8059456
-0.12720351,-0.2528666,0.8008933
-0.13101478,-0.256328,0.7955068
-0.13501035,-0.25985113,0.78985983
-0.13861032,-0.26312295,0.7847719
-0.14227699,-0.26639444,0.7795897
-0.14634757,-0.26984158,0.77383673
-0.15007839,-0.27307168,0.7685639
-0.15359019,-0.27615196,0.7636006
-0.15734795,-0.27932283,0.7582897
-0.16089854,-0.2823518,0.7532717
-0.16406842,-0.28515506,0.74879164
-0.16704871,-0.28783298,0.7445796
-0.17002814,-0.2904809,0.7403687
-0.1726721,-0.2929365,0.736632
-0.17527103,-0.29534417,0.7329589
-0.17806998,-0.2978212,0.7290031
-0.18080486,-0.3002403,0.7251378
-0.18341422,-0.30257383,0.72145
-0.18657713,-0.3051364,0.7169798
-0.19058235,-0.30805138,0.71131915
-0.1943874,-0.31083643,0.70594144
-0.19768494,-0.31335753,0.70128095
-0.20067397,-0.31570995,0.69705653
-0.20297334,-0.3177322,0.6938068
-0.20466094,-0.31946805,0.69142175
-0.20614277,-0.32109958,0.6893275
-0.20734042,-0.32259676,0.68763477
-0.20833538,-0.3239978,0.6862286
-0.20913918,-0.32531038,0.6850925
-0.20972815,-0.32652777,0.6842602
-0.21021512,-0.32769844,0.6835719
-0.2107325,-0.32887632,0.68284076
-0.21142107,-0.33011597,0.68186754
