x1,y1,z1
-0.3750095,-0.38480327,0.46708328
-0.3755133,-0.38536447,0.46637127
-0.37473375,-0.3849795,0.46747306
-0.37456942,-0.38505045,0.46770525
-0.37462693,-0.3852835,0.46762398
-0.37474462,-0.3855592,0.46745765
-0.37499312,-0.38592708,0.46710646
-0.3751617,-0.38623583,0.4668682
-0.37531897,-0.386535,0.4666459
-0.3754673,-0.38682634,0.46643624
-0.37549046,-0.38702938,0.46640357
-0.37544233,-0.3871831,0.46647155
-0.375374,-0.3873235,0.46656814
-0.37540045,-0.38752887,0.46653074
-0.37538564,-0.38770622,0.46655166
-0.37544355,-0.38793233,0.46646988
-0.3754841,-0.3881463,0.46641254
-0.37560153,-0.38841063,0.46624658
-0.37561768,-0.38860747,0.46622378
-0.3756832,-0.38883626,0.46613115
-0.37576404,-0.38907427,0.46601686
-0.3757761,-0.38926747,0.4659998
-0.37576374,-0.38944504,0.46601734
-0.37578318,-0.3896428,0.46598983
-0.3758925,-0.38989645,0.46583536
-0.37592706,-0.39010274,0.4657865
-0.3760105,-0.39033866,0.46566856
-0.37611392,-0.39058596,0.4655224
-0.3763098,-0.39088815,0.46524554
-0.3764333,-0.391145,0.46507096
-0.37665212,-0.39145726,0.46476176
-0.37685865,-0.3917601,0.46446988
-0.3769866,-0.39201498,0.46428904
-0.3770228,-0.39221543,0.46423784
-0.37712336,-0.39245245,0.4640957
-0.3772514,-0.39270416,0.4639148
-0.3773142,-0.39291775,0.46382603
-0.37738213,-0.3931336,0.46373
-0.37749538,-0.3933739,0.46356997
-0.3776516,-0.39363673,0.4633492
-0.37776238,-0.3938732,0.4631926
-0.37793383,-0.3941414,0.46295032
-0.37807408,-0.39439118,0.46275207
-0.37813148,-0.39459562,0.46267095
-0.3780329,-0.39471766,0.46281025
-0.3779572,-0.39485252,0.46291727
-0.37792203,-0.39500904,0.46296698
-0.37789124,-0.39516816,0.4630105
-0.37782025,-0.3953072,0.4631108
-0.3778187,-0.39548177,0.463113
-0.3777457,-0.3956209,0.46321622
-0.37750196,-0.39567706,0.46356067
-0.37714866,-0.3956825,0.46405998
-0.37679246,-0.39569002,0.4645634
-0.37634563,-0.395658,0.46519488
-0.3758857,-0.3956242,0.46584496
-0.375575,-0.39566448,0.46628404
-0.37527624,-0.39571333,0.46670625
-0.37497234,-0.3957628,0.4671358
-0.37471852,-0.3958378,0.46749455
-0.37449718,-0.39592987,0.46780735
-0.37409592,-0.39594483,0.4683745
-0.3736459,-0.3959425,0.46901053
-0.37328562,-0.3959833,0.46951967
-0.37283993,-0.39599136,0.47014952
-0.37227342,-0.3959529,0.47095022
-0.3716795,-0.3959087,0.4717896
-0.3710847,-0.39587003,0.47263026
-0.3703628,-0.39578566,0.47365052
-0.36960545,-0.39569426,0.47472087
-0.36883777,-0.39560625,0.47580588
-0.3680268,-0.39550894,0.47695205
-0.36719942,-0.3954133,0.47812137
-0.36633116,-0.39531034,0.47934845
-0.365363,-0.39517838,0.4807168
-0.36433974,-0.39503556,0.48216304
-0.36331528,-0.39490247,0.48361087
-0.3622966,-0.39478162,0.4850506
-0.36133477,-0.39469114,0.48640996
-0.36043522,-0.3946321,0.48768133
-0.35957453,-0.39459544,0.48889774
-0.35867676,-0.39455464,0.49016657
-0.35786736,-0.3945525,0.4913105
-0.35702717,-0.39454818,0.49249795
-0.35614693,-0.3945391,0.49374202
-0.3552006,-0.3945175,0.4950795
-0.35429078,-0.39451692,0.49636528
-0.353308,-0.39450252,0.4977543
-0.35229075,-0.39448735,0.499192
-0.35140732,-0.39452264,0.5004406
-0.35052514,-0.39456707,0.50168735
-0.3496144,-0.39461192,0.5029745
-0.34873486,-0.39467478,0.50421757
-0.347929,-0.3947671,0.5053565
-0.34698907,-0.3948303,0.5066849
-0.3460362,-0.3948993,0.50803167
-0.3451452,-0.39499426,0.5092909
-0.34421417,-0.39508757,0.51060677
-0.34316313,-0.39515927,0.5120922
-0.34223115,-0.39527142,0.5134093
-0.3413515,-0.39540577,0.5146526
-0.3403726,-0.39552477,0.5160361
-0.33940005,-0.395655,0.5174106
-0.33856475,-0.3958268,0.5185911
-0.33766657,-0.39599258,0.5198605
-0.3366256,-0.39613545,0.5213317
-0.33573782,-0.396322,0.52258646
-0.3348679,-0.39652115,0.523816
-0.33387,-0.39670238,0.5252263
-0.33286962,-0.396893,0.5266401
-0.33198735,-0.3971169,0.52788705
-0.33103195,-0.39733544,0.52923733
-0.32999402,-0.39754796,0.53070426
-0.32910913,-0.39779875,0.5319549
-0.3282801,-0.39806828,0.53312653
-0.32727185,-0.39831504,0.5345515
-0.32633176,-0.39858323,0.53588015
-0.32546842,-0.3988733,0.5371003
-0.32449794,-0.39915496,0.5384719
-0.32342696,-0.39943087,0.53998554
-0.3224546,-0.39973202,0.5413598
-0.3215412,-0.40005127,0.5426507
-0.3204885,-0.40036032,0.5441385
-0.31952444,-0.40069163,0.54550105
-0.3186157,-0.40103957,0.54678535
-0.31767154,-0.4013922,0.54811984
-0.31661838,-0.40174127,0.54960823
-0.31568033,-0.40211383,0.55093396
-0.31472233,-0.40249357,0.55228794
-0.31366363,-0.40287235,0.5537842
-0.3126603,-0.40326712,0.5552022
-0.3116981,-0.40367568,0.5565621
-0.3107091,-0.40409145,0.5579599
-0.30969873,-0.4045152,0.55938786
-0.30872032,-0.4049515,0.56077063
-0.30768454,-0.4053933,0.5622346
-0.30665714,-0.4058459,0.56368655
-0.30560002,-0.40630683,0.56518066
-0.3045633,-0.40677947,0.56664574
-0.30344737,-0.4072581,0.56822294
-0.30240163,-0.40775123,0.56970096
-0.30132174,-0.40825322,0.57122713
-0.30018398,-0.40876374,0.57283515
-0.29914182,-0.4092887,0.5743081
-0.2981038,-0.4098242,0.5757751
-0.29701582,-0.41036877,0.57731277
-0.29588744,-0.41092336,0.5789075
-0.2948642,-0.41149062,0.5803536
-0.29373872,-0.4120671,0.58194435
-0.29252538,-0.41265437,0.5836591
-0.29141423,-0.41325358,0.5852296
-0.29033154,-0.4138637,0.5867597
-0.28914163,-0.4144857,0.58844143
-0.2880215,-0.41511837,0.59002453
-0.28705412,-0.41575903,0.59139174
-0.28601578,-0.4164111,0.5928593
-0.28490376,-0.41707572,0.5944309
-0.28393474,-0.4177463,0.5958004
-0.28296745,-0.41842645,0.59716743
-0.2818808,-0.41912156,0.59870327
-0.28085738,-0.4198243,0.60014963
-0.2799244,-0.4205322,0.60146827
-0.27892414,-0.42125338,0.602882
-0.27786183,-0.42198855,0.60438335
-0.27692437,-0.42272553,0.60570824
-0.27595496,-0.42347416,0.6070783
-0.2748321,-0.4242447,0.60866535
-0.2737919,-0.42501935,0.61013544
-0.27280906,-0.4257992,0.61152446
-0.27166444,-0.42660412,0.6131422
-0.27049556,-0.42742282,0.61479414
-0.26940647,-0.42824477,0.6163334
-0.26827943,-0.4290817,0.6179263
-0.26703337,-0.42994344,0.6196874
-0.26589775,-0.43080434,0.6212923
-0.26482955,-0.4316681,0.6228021
-0.2636111,-0.43256193,0.62452406
-0.2624065,-0.43346602,0.6262266
-0.26127112,-0.43437237,0.6278312
-0.26009852,-0.43529537,0.62948847
-0.2588104,-0.43624726,0.631309
-0.25763988,-0.43719378,0.6329633
-0.25646132,-0.43815318,0.634629
-0.25519058,-0.43913943,0.6364249
-0.25400105,-0.44012454,0.6381061
-0.2528571,-0.44111347,0.6397228
-0.25168067,-0.44211963,0.64138544
-0.25050417,-0.44313744,0.6430483
-0.24936536,-0.4441598,0.64465785
-0.24815422,-0.44520748,0.64636946
-0.24691206,-0.4462734,0.64812505
-0.24574898,-0.44733548,0.6497688
-0.24460664,-0.44840473,0.65138334
-0.24336903,-0.44950572,0.6531325
-0.24223019,-0.45059738,0.654742
-0.24111602,-0.45169482,0.65631664
-0.2399262,-0.4528206,0.6579982
-0.23875852,-0.453953,0.65964854
-0.23767479,-0.45507693,0.6611802
-0.23653579,-0.45622513,0.66279
-0.23527412,-0.45741513,0.6645731
-0.23415108,-0.45858243,0.6661603
-0.23301747,-0.45976365,0.66776246
-0.23177132,-0.4609858,0.6695236
-0.23058656,-0.4622038,0.67119807
-0.22949904,-0.46340695,0.6727351
-0.22832513,-0.46464497,0.67439413
-0.22710486,-0.46590775,0.6761188
-0.22605373,-0.46713385,0.6776044
-0.22497484,-0.46837854,0.67912924
-0.22377062,-0.4696713,0.68083113
-0.22265464,-0.4709493,0.6824084
-0.22160113,-0.47221905,0.6838973
-0.22043474,-0.4735346,0.68554574
-0.21921976,-0.47487727,0.6872629
-0.21813421,-0.47619012,0.6887971
-0.21702804,-0.47752047,0.69036055
-0.21580128,-0.478902,0.6920943
-0.21471986,-0.48024657,0.6936227
-0.21368966,-0.48158425,0.69507873
-0.21253625,-0.4829751,0.6967088
-0.21141775,-0.48436505,0.6982896
-0.21039292,-0.48573253,0.699738
-0.20930573,-0.48713282,0.7012746
-0.20816429,-0.4885639,0.7028878
-0.20710835,-0.48997435,0.70438015
-0.20608345,-0.49138358,0.7058286
-0.20496432,-0.49283907,0.70741034
-0.20392178,-0.49427596,0.70888376
-0.20294996,-0.4956954,0.71025723
-0.20189549,-0.4971574,0.7117475
-0.2008078,-0.49864316,0.71328473
-0.199786,-0.5001129,0.7147289
-0.19875267,-0.5015975,0.7161893
-0.19761828,-0.5031346,0.71779263
-0.19658689,-0.50463945,0.7192502
-0.19557044,-0.5061481,0.72068685
-0.19450803,-0.5076867,0.72218835
-0.1934903,-0.5092163,0.7236268
-0.19250739,-0.51074064,0.7250159
-0.19146761,-0.51230013,0.7264854
-0.19037814,-0.51389235,0.72802514
-0.18937235,-0.5154572,0.72944665
-0.1883363,-0.51704603,0.7309109
-0.18724442,-0.51867115,0.7324541
-0.18623042,-0.5202704,0.7338872
-0.18523145,-0.5218725,0.73529905
-0.18412161,-0.52353793,0.73686755
-0.18306345,-0.5251893,0.7383631
-0.18206495,-0.52682173,0.7397743
-0.18099432,-0.5284999,0.74128747
-0.17986843,-0.53021646,0.7428787
-0.17885205,-0.53188866,0.7443151
-0.17783539,-0.5335711,0.745752
-0.17668276,-0.53533393,0.74738103
-0.1756338,-0.53705406,0.7488635
-0.17462769,-0.5387621,0.75028545
-0.17353438,-0.5405264,0.7518307
-0.17242074,-0.54231244,0.75340456
-0.17146204,-0.54402566,0.7547595
-0.1704665,-0.54576856,0.7561666
-0.16937621,-0.5475735,0.75770754
-0.16841103,-0.54931974,0.7590716
-0.16744973,-0.5510734,0.7604302
-0.1663465,-0.5529168,0.76198936
-0.1652245,-0.55478203,0.76357514
-0.16423073,-0.5565844,0.7649796
-0.16319536,-0.55842084,0.766443
-0.1620792,-0.56031495,0.76802045
-0.16108747,-0.56214654,0.76942205
-0.1601364,-0.5639638,0.77076614
-0.15905078,-0.5658713,0.77230054
-0.15802416,-0.5677538,0.77375144
-0.15706268,-0.5696067,0.7751103
-0.15604003,-0.5715068,0.77655566
-0.15499148,-0.57343316,0.7780376
-0.15404329,-0.57530713,0.7793777
-0.15309119,-0.5771929,0.7807233
-0.15204443,-0.5791484,0.78220266
-0.15104145,-0.5810862,0.7836202
-0.15008919,-0.5830012,0.78496605
-0.14904958,-0.58498245,0.78643537
-0.14801182,-0.5869728,0.78790206
-0.14706466,-0.58891356,0.7892407
-0.14610352,-0.59087306,0.79059905
-0.1451024,-0.592869,0.792014
-0.14416243,-0.59483343,0.7933424
-0.14324388,-0.59679264,0.7946406
-0.14223419,-0.5988235,0.7960676
-0.14128111,-0.60082525,0.7974146
-0.14030619,-0.6028516,0.79879254
-0.13928707,-0.6049186,0.8002328
-0.13825272,-0.6070065,0.80169463
-0.13727973,-0.60906106,0.8030698
-0.13629383,-0.61113447,0.8044632
-0.13522829,-0.613275,0.8059692
-0.13425179,-0.6153616,0.8073492
-0.13323897,-0.61748433,0.8087807
-0.13215877,-0.6196667,0.8103073
-0.13110952,-0.62183684,0.8117903
-0.13007489,-0.62400657,0.8132525
-0.12892856,-0.62627023,0.8148726
-0.12776351,-0.6285594,0.81651926
-0.12669982,-0.6307832,0.81802255
-0.12560241,-0.6330432,0.8195735
-0.124423824,-0.6353767,0.82123923
-0.12332854,-0.63765734,0.8227872
-0.12222599,-0.6399545,0.82434547
-0.12092293,-0.6424198,0.82618713
-0.11967129,-0.6448575,0.827956
-0.1185108,-0.6472352,0.82959616
-0.117265455,-0.64969236,0.83135635
-0.11588904,-0.6522672,0.8333016
-0.11467413,-0.654725,0.8350187
-0.113447145,-0.65720457,0.8367527
-0.11206401,-0.6598244,0.83870757
-0.11077299,-0.662382,0.8405321
-0.10956013,-0.66488755,0.8422463
-0.10822341,-0.6675085,0.8441356
-0.10677563,-0.6702359,0.8461817
-0.10551723,-0.6728177,0.8479602
-0.10423563,-0.6754317,0.8497715
-0.102786034,-0.6782021,0.8518203
-0.10145896,-0.6808814,0.85369575
-0.1002116,-0.6835051,0.8554587
-0.098810196,-0.686275,0.85743934
-0.09742626,-0.6890436,0.8593953
-0.09617139,-0.6917124,0.8611688
-0.094906904,-0.69440216,0.8629559
-0.093550876,-0.6971859,0.8648724
-0.092354834,-0.69984007,0.8665628
-0.09121021,-0.70245993,0.86818045
-0.089923665,-0.7052193,0.8699988
-0.08865077,-0.70797914,0.87179774
-0.08747672,-0.7106613,0.8734571
-0.08628542,-0.71337086,0.8751407
-0.08505958,-0.71612424,0.87687325
-0.08396598,-0.718767,0.8784189
-0.08289663,-0.72139794,0.8799302
-0.08173075,-0.72413003,0.8815779
-0.080588214,-0.7268517,0.8831927
-0.079488695,-0.7295439,0.8847466
-0.07835837,-0.73227644,0.88634413
-0.07728928,-0.73496145,0.8878551
-0.076255105,-0.73762345,0.8893167
-0.07520439,-0.7403118,0.89080167
-0.07408351,-0.7430787,0.89238584
-0.07304059,-0.74578065,0.89385986
-0.07196643,-0.7485235,0.895378
-0.070796415,-0.75137186,0.89703155
-0.069723904,-0.7541349,0.89854735
-0.068663225,-0.75689673,0.9000464
-0.06756895,-0.75970286,0.901593
-0.066488564,-0.7625058,0.90311986
-0.06547572,-0.7652511,0.9045514
-0.06437021,-0.7681008,0.9061138
-0.06323406,-0.7709927,0.90771955
-0.06223305,-0.7737571,0.9091343
-0.061206575,-0.7765577,0.91058505
-0.060078938,-0.7794733,0.9121787
-0.05899953,-0.78235,0.9137043
-0.057948943,-0.78520703,0.915189
-0.05665614,-0.78832954,0.91701615
-0.055311177,-0.79152,0.9189171
-0.05410814,-0.79457295,0.92061734
-0.05287537,-0.79766965,0.92235965
-0.051457457,-0.8009771,0.92436355
-0.050157256,-0.8041717,0.92620116
-0.04886657,-0.807369,0.9280253
-0.04740467,-0.81076527,0.93009144
-0.04594731,-0.8141711,0.93215114
-0.044621848,-0.81744653,0.9340244
-0.043218367,-0.8208212,0.9360079
-0.04164689,-0.8243957,0.93822896
-0.040271457,-0.82776785,0.94017285
-0.038926423,-0.8311197,0.9420739
-0.037425376,-0.8346599,0.94419533
-0.036038335,-0.83808655,0.94615555
-0.034860924,-0.8412897,0.94781965
-0.03371042,-0.84447396,0.94944566
-0.03249917,-0.847739,0.95115757
-0.031383745,-0.85090613,0.95273405
-0.030213933,-0.85414696,0.9543873
-0.028799284,-0.8576826,0.9563866
-0.027421024,-0.86118996,0.95833457
-0.026129937,-0.8646093,0.96015924
-0.02467715,-0.868231,0.9622125
-0.02325214,-0.8718343,0.9642265
-0.02219382,-0.8750186,0.96572226
-0.021518191,-0.87775946,0.9666771
-0.02076918,-0.8805943,0.9677357
-0.019703696,-0.8838153,0.96924156
-0.01876813,-0.8868907,0.97056377
-0.018147726,-0.8895954,0.9714407
-0.017063271,-0.89286816,0.9729733
-0.015485475,-0.8967515,0.9752032
-0.014732226,-0.89964384,0.9762678
-0.013750752,-0.9028235,0.977655
-0.00302174,-0.91801125,0.9928184
-0.09047243,-0.8119672,0.8692232
-0.37646675,-0.38575047,0.46528223
-0.37527406,-0.38504842,0.46697628
-0.37530604,-0.38526085,0.46693087
-0.375349,-0.38548097,0.4668699
-0.37535077,-0.3856708,0.46686733
-0.37536883,-0.38587236,0.46684167
-0.3755373,-0.38618153,0.46660239
-0.3757458,-0.38651758,0.46630624
-0.3758823,-0.3868006,0.4661124
-0.3759362,-0.3870243,0.46603584
-0.37593627,-0.38720992,0.46603572
-0.37596604,-0.38741606,0.46599346
-0.37591678,-0.38756767,0.46606344
-0.37588856,-0.3877341,0.4661035
-0.3758968,-0.3879255,0.46609175
-0.37592116,-0.38812762,0.4660572
-0.37589496,-0.38829583,0.46609437
-0.37594125,-0.38851222,0.46602863
-0.37599808,-0.38873515,0.46594793
-0.3760455,-0.38895133,0.46588057
-0.37608302,-0.38916063,0.46582732
-0.3761311,-0.38937637,0.465759
-0.37619868,-0.38960403,0.46566305
-0.3762419,-0.3898156,0.46560168
-0.37630588,-0.39003983,0.46551073
-0.37636662,-0.39026135,0.46542448
-0.37645537,-0.39049956,0.4652984
-0.37652612,-0.39072588,0.46519795
-0.37669003,-0.39100808,0.46496513
-0.37686887,-0.39129764,0.4647111
-0.3770893,-0.39161026,0.464398
-0.37727803,-0.3919019,0.46412992
-0.3774279,-0.39216885,0.4639171
-0.37752667,-0.3924045,0.4637768
-0.37761012,-0.39263034,0.46365827
-0.3776994,-0.39285868,0.4635314
-0.37778294,-0.3930829,0.4634128
-0.37788105,-0.39331445,0.46327344
-0.3779707,-0.39354026,0.46314612
-0.37811828,-0.39379725,0.46293655
-0.3782749,-0.39405772,0.46271408
-0.37841964,-0.3943102,0.46250844
-0.37852818,-0.3945417,0.46235433
-0.37858847,-0.3947465,0.46226868
-0.37852982,-0.39488792,0.46235195
-0.37844703,-0.39501727,0.46246955
-0.37841257,-0.39517248,0.4625185
-0.37843177,-0.39535558,0.46249124
-0.37842032,-0.39552286,0.46250752
-0.37836275,-0.3956671,0.4625893
-0.37824816,-0.39578357,0.46275204
-0.37804413,-0.3958571,0.4630418
-0.3777455,-0.39588648,0.46346596
-0.37737775,-0.39588553,0.46398827
-0.37698996,-0.39587858,0.4645391
-0.3766124,-0.39588037,0.4650754
-0.37629676,-0.3959149,0.4655237
-0.37600714,-0.39596465,0.46593508
-0.37570706,-0.39601249,0.46636128
-0.37534645,-0.39603585,0.4668735
-0.37498236,-0.3960613,0.46739066
-0.37455758,-0.3960635,0.46799397
-0.37417048,-0.3960864,0.4685438
-0.3737713,-0.39610794,0.4691108
-0.37332138,-0.3961118,0.4697498
-0.3728149,-0.39609614,0.47046924
-0.37220255,-0.39604133,0.471339
-0.37153295,-0.39596894,0.47229007
-0.37080196,-0.39587826,0.47332832
-0.3700908,-0.39580277,0.47433838
-0.36935046,-0.3957228,0.47538996
-0.3685255,-0.39561692,0.47656167
-0.36768702,-0.39551404,0.47775263
-0.36683252,-0.3954134,0.4789664
-0.36583853,-0.39526853,0.48037812
-0.36477327,-0.39510697,0.48189119
-0.36373785,-0.394967,0.48336187
-0.36277357,-0.39486322,0.48473153
-0.36186436,-0.39478874,0.48602286
-0.3610143,-0.39474425,0.48723027
-0.3601998,-0.39472058,0.48838717
-0.35929048,-0.3946725,0.4896787
-0.35842547,-0.3946485,0.49090737
-0.35758173,-0.3946402,0.4921057
-0.35666963,-0.39461786,0.4934013
-0.35569182,-0.3945834,0.4947901
-0.3548167,-0.39459133,0.49603307
-0.35392207,-0.39460188,0.49730378
-0.3529201,-0.3945883,0.49872696
-0.35199827,-0.39460897,0.50003624
-0.35113537,-0.39465645,0.50126195
-0.35021988,-0.39469707,0.5025623
-0.34929547,-0.39474428,0.5038752
-0.34845528,-0.39482453,0.50506854
-0.3475452,-0.39489374,0.50636125
-0.34651935,-0.39494038,0.50781834
-0.34558624,-0.3950221,0.50914365
-0.3446962,-0.3951245,0.5104078
-0.3437204,-0.39521357,0.51179385
-0.34277004,-0.39531887,0.51314366
-0.34186688,-0.39544532,0.5144265
-0.34091485,-0.3955689,0.51577866
-0.3399288,-0.39569384,0.51717925
-0.33905986,-0.395856,0.5184134
-0.3381773,-0.39602366,0.519667
-0.3371983,-0.3961786,0.52105755
-0.3362657,-0.39635342,0.52238214
-0.3353904,-0.3965498,0.52362543
-0.33445784,-0.39674294,0.52494997
-0.3335138,-0.39694306,0.52629083
-0.33257443,-0.39715353,0.5276251
-0.33157972,-0.39736262,0.52903795
-0.33051836,-0.39756906,0.5305454
-0.32958776,-0.39781007,0.5318672
-0.32870245,-0.39806852,0.53312474
-0.3277009,-0.39831558,0.53454727
-0.32675222,-0.3985815,0.53589475
-0.325834,-0.3988619,0.53719896
-0.3248566,-0.39914206,0.53858715
-0.3238629,-0.3994295,0.53999853
-0.32297835,-0.399743,0.541255
